objectid,title,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,publisher,relation
repl1,"""Reply to an almost lover"" published in Maudlin House",,,Reply to an almost lover published in Maudlin House,"""McKinnon, Rebecca""",2016-09-15T14:00:35-05:00,,,,,,"""Reply to an almost lover"", Maudlin House",Publication-2016-09-15,Text;Articles,application/pdf,en-US,"""Maudlin House acquires first publication rights, but you, the writer, still own your work. What this means is that we hold the publication rights for 30 days after our issue publication. After 30 days, you are free to publish and submit your work elsewhere. We kindly ask for acknowledgment for subsequent reprints of your work.""",https://maudlinhouse.net/submissions/,Maudlin House,https://maudlinhouse.net/reply-to-an-almost-lover/
lucy1,"""Lucy"" published in The Molotov Cocktail",,,Lucy published in The Molotov Cocktail,"""McKinnon, Rebecca N.""",2020-11-30T08:06:50+00:00,"""Lucy by Rebecca N. McKinnon Every day was this: He woke before his alarm, sweat sticky against the sheets, and started the day tearing them from the sleeper sofa and waddling with his bundle to the…""",,,,,"""Vol. 11 Issue 8"", The Molotov Cocktail",Publication-2020-11-30,Text;Articles,application/pdf,en-US,"""The Molotov Cocktail accepts no liability arising from the publication of an author’s work. All content appearing on this site is fictional, despite any resemblances to actual people. We reserve one-time electronic rights (and we’ll keep your work in our archives indefinitely) but authors, of course, retain copyrights. Should we publish a print anthology in the future, we will contact you to request permission to feature your work.""",https://themolotovcocktail.com/submission-guidelines/,The Molotov Cocktail,https://themolotovcocktail.com/vol-11/vol-11-issue-8/lucy/
thre0,"""Three Hours Alone on Black Rock Beach""",,,Three Hours Alone on Black Rock Beach,"""McKinnon, Rebecca N.""",2021-12-05,,,Big Talbot Island State Park,30.494037,-81.438406,"""RNM-Writing""",Text-Three-Hours-Alone,Text;Prose poems,application/pdf,en-US,"""This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).""",https://rightsstatements.org/page/InC/1.0/,,
shec0,"""She cut her hair""",,,She cut her hair,"""McKinnon, Rebecca N.""",2021-12-05,,,,,,"""RNM-Writing""",Text-She-Cut-Her,Text;Flash fiction,application/pdf,en-US,"""This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).""",https://rightsstatements.org/page/InC/1.0/,,
depa0,"""Departures""",,,Departures,"""McKinnon, Rebecca N.""",2021-12-05,,,,,,"""RNM-Writing""",Text-Departures,Text;Flash fiction,application/pdf,en-US,"""This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).""",https://rightsstatements.org/page/InC/1.0/,,
firstf0,"""First Fall"" or ""Hellbound""",,,First Fall or Hellbound,"""McKinnon, Rebecca N.""",2021-12-05,,,,,,"""RNM-Writing""",Text-First-Fall,Text;Poetry,application/pdf,en-US,"""This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).""",https://rightsstatements.org/page/InC/1.0/,,
firstc0,"""First Crush""",,,First Crush,"""McKinnon, Rebecca N.""",2021-12-05,,,,,,"""RNM-Writing""",Text-First-Crush,Text;Poetry,application/pdf,en-US,"""This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).""",https://rightsstatements.org/page/InC/1.0/,,
plan0,"""Plans and prayers""",,,Plans and prayers,"""McKinnon, Rebecca N.""",2021-12-05,,,,,,"""RNM-Writing""",Text-Plans-and-Prayers,Text;Prose Poems,application/pdf,en-US,"""This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).""",https://rightsstatements.org/page/InC/1.0/,,
indr0,"""In dreams I remember""",,,In dreams I remember,"""McKinnon, Rebecca N.""",2021-12-05,,,,,,"""RNM-Writing""",Text-In-Dreams-I,Text;Poetry,application/pdf,en-US,"""This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).""",https://rightsstatements.org/page/InC/1.0/,,
mean0,"""Me and you""",,,Me and you,"""McKinnon, Rebecca N.""",2021-12-05,,,,,,"""RNM-Writing""",Text-Me-And-You,Text;Poetry,application/pdf,en-US,"""This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).""",https://rightsstatements.org/page/InC/1.0/,,
